,Date,PnL,LongsP,ShortsP,LongH,ShortH,LongD,ShortD,LongsG,ShortsG,LongsT,ShortsT,LongsV,ShortsV,Sim
50,2016-09-26,-1035858.905872178,340833571.52116084,-308541965.81243247,5742958552.845238,-5990873544.851856,602446498.525204,-504995948.2342268,615710630.7745533,-659725757.2883391,-5896361.6830495335,5993701.248003736,8737911.563678315,-9099326.09923656,1
51,2016-09-27,-927583.4776309507,356380684.190845,-323190807.09567016,6026988545.804323,-6272654135.250367,584883862.3640952,-588959119.7887483,623672271.1302807,-663405993.9540527,-5820946.137165649,5905800.287647581,8379708.55441215,-8681854.156193292,1
52,2016-09-28,-1491115.3901694072,387981035.0475336,-359433897.1759818,6426987938.109742,-6587386855.658777,548208670.4953866,-630323718.5589415,617812576.4242343,-651407295.9953264,-5580730.448169785,5632800.145818526,7801940.18884464,-8024447.3109224355,1
53,2016-09-29,-5412987.286026986,325706997.429135,-290003635.7934519,5617885434.757405,-5908135766.084137,864949104.2087114,-747666901.481173,666975247.5348077,-697961794.6267604,-5724308.599134134,5770848.686208473,7838508.115044488,-8020544.443979926,1
54,2016-09-30,-291358.3625161657,373675578.1915563,-332262586.7367544,6195063725.752729,-6466614590.506612,700301862.2500968,-725002317.0045811,646743510.3959706,-689506696.7130873,-5588059.320928026,5765808.78117329,7297996.140672362,-7618374.221720991,1
55,2016-10-03,1138072.2822530386,327210953.3164233,-291224468.0841413,5860963414.016496,-6030963449.70002,572696297.5457653,-667682548.1113508,701863799.3076906,-739856820.829545,-5889592.81198013,6048668.746046963,6693479.010687049,-6927480.129429785,1
56,2016-10-04,1882311.0757443248,291162897.7945573,-261426748.0210043,5398456367.461681,-5540218400.447442,690124681.3593013,-710230037.5225899,706991181.1344835,-758945696.6841848,-5909285.085572185,6143562.057287326,6349810.464672542,-6676135.844596878,1
57,2016-10-05,825430.2063918405,316205184.2301885,-289558715.77404666,5602737613.895435,-5652348917.546858,671300963.8001823,-759536581.6107183,674541164.9426814,-727732178.7376959,-5628837.440634616,5851988.376799698,5694840.153637763,-5989061.258256905,1
58,2016-10-06,2379587.906321866,326242994.2555548,-290802762.28925776,5657436476.4117565,-5705453220.917282,467358804.8454845,-475367539.5952149,665258401.8072597,-727861899.790878,-5424479.271980046,5661976.52546159,5197492.238323641,-5516492.820927076,1
59,2016-10-07,-4071502.628002156,287158144.82966256,-252163108.84404248,5241886267.9636965,-5402190449.978046,683699270.5624294,-575038139.7009315,695147632.9384916,-744028389.197129,-5723924.95604949,5869070.371390983,5102668.863377549,-5312421.064080182,1
60,2016-10-10,-300138.8359460924,304298920.3175321,-264319403.9206483,5695011642.086927,-5824814787.913219,628920314.9076319,-664705970.3428984,725899736.6060269,-796242498.9463022,-5937201.545952521,6272964.79342939,4181835.12245766,-4474856.987732432,1
61,2016-10-11,-3717958.631615338,221487324.83806425,-188631053.04088685,4582252597.739025,-4705939497.18784,1093272096.5394924,-1095983056.9488797,759928992.8885272,-827867997.9253016,-6346914.926900199,6600743.940658546,4015029.836631104,-4253829.303501669,1
62,2016-10-12,189531.76905638145,225032027.58560845,-203953866.62570912,4971297453.683226,-4920069291.316565,511993947.1191263,-674941366.3282673,787972130.5136019,-852824966.77448,-6658209.656924275,6667296.067448748,3780085.400740648,-3915385.4114121217,1
63,2016-10-13,744225.490516366,194603712.26143783,-175123575.5200116,4511255146.279057,-4571280129.299372,855246358.4213946,-741650963.3254282,834414865.6562295,-874373448.6622801,-7065015.642014814,6938662.053005608,3567647.1467217905,-3597204.6508534783,1
64,2016-10-14,773626.5995586701,187406252.80648533,-176354393.1953116,4561404461.939859,-4490470480.735283,495139516.2024919,-616896576.6975714,822279710.4944406,-870785102.9673777,-7018455.229212094,6970397.839211572,3092311.9900552696,-3139678.5708174845,1
