,Ticker,PnL
2016-08-11,VSTO,5298621.6134745665
2017-01-12,VSTO,6690695.649455935
2017-04-20,EVRG,-6228347.700551358
2017-06-15,KR,6108431.195179625
2017-07-12,NRG,-5127424.969520123
2017-09-08,EFX,5981748.751665701
2017-10-20,SKX,9894843.520141728
2017-10-31,SSD,6300999.906724235
2019-01-18,NLS,7433551.1563051855
2019-02-22,KHC,-6578284.634688369
2019-07-29,NSP,5982044.648728545
2019-08-30,ULTA,-6403013.198658098
2019-11-07,EXPE,-5323277.65496045
2020-01-31,NAV,8763040.15339527
2020-03-17,QDEL,-5432037.528155746
2020-03-19,WEC,6054225.336724309
2020-11-09,REG,-5397254.2584812865
2021-01-29,EHTH,5373937.217532782
