Date,PnL,LongsP,ShortsP,LongsD,ShortsD,LongsG,ShortsG,LongsT,ShortsT,LongsV,ShortsV
2016-07-15,0.0,302795841.267859,-302800088.61075515,4983250289.036313,-4842689931.589643,556410696.5680116,-525057595.8708523,6250000.0,-6250000.0,11913228.46145825,-11566385.457174536
2016-07-18,1449504.4080822673,300735911.73043466,-301372523.09209526,5033040515.81096,-4926934198.037115,577548681.5126665,-547787615.8341197,6486316.224443813,-6498998.231658861,11303759.891527224,-11012549.585844442
2016-07-19,300658.39366046654,290822129.30451894,-287545263.5233491,5007270955.342136,-4875293267.131733,582755901.3433123,-550912016.0358016,6523378.618138526,-6533703.7561240215,11032641.669477392,-10739578.40572688
2016-07-20,-685359.5880103726,308168454.0705823,-317535061.463204,5202608106.31472,-5186991190.666967,591199629.4917579,-557733773.7886868,6553178.784277882,-6546863.759401748,10762060.801784124,-10449208.878131874
2016-07-21,2877182.073826958,288486434.33283544,-289406368.3265854,4966692702.790003,-4902046957.602438,594117820.480144,-569383356.8470147,6464607.908229971,-6534945.543022551,10328636.908118652,-10168388.465123959
2016-07-22,2265857.0812596953,325734330.6236393,-322917563.3234576,5434624877.435974,-5309871613.098717,590624291.3963004,-568834982.9368858,6459828.506935204,-6545160.780041061,9946210.581518766,-9824291.884128362
2016-07-25,-269919.73696267884,298227015.0867574,-304800839.0813778,5259749426.4016285,-5207220319.158722,617655681.2563813,-591734323.7293429,6718491.262815043,-6777366.464983933,9278206.844972504,-9106578.728891611
2016-07-26,-2002440.5413120156,308873521.4441764,-328209449.439683,5368635042.793627,-5453084799.583355,626220620.120173,-592596447.278787,6818668.386899372,-6842822.51693933,9034805.813708032,-8795793.40403302
2016-07-27,-2663378.4346637805,286241116.40264285,-323164428.03160596,5043764528.474438,-5308501006.644869,624307031.8030387,-583843201.3607222,6810746.729160342,-6755426.79042783,8633613.105053458,-8316192.885331486
2016-07-28,1735281.1434516404,308480308.14444333,-342740824.4377893,5366089777.437821,-5495028188.044631,621701070.3505588,-577712392.8247945,6693835.619149281,-6625757.144364949,8183578.91889954,-7829249.541493668
2016-07-29,1465182.6644313147,330108217.05417705,-352066818.670665,5572973887.365297,-5582059635.967696,608408454.9757042,-569332833.3300292,6581049.132365422,-6510115.196338093,7669153.362327672,-7366830.502997024
2016-08-01,1663573.8267102498,316879990.99833393,-342101340.2612735,5519625408.4295845,-5601161644.242754,626367389.7796499,-580896757.5117769,6700779.312576491,-6644376.171147389,6726360.235310717,-6438208.3353849705
2016-08-02,2077715.1263999091,258199458.99119425,-277840769.40699077,4840761316.036624,-4922521399.850592,645218823.5161953,-608421690.0510274,6825336.260139847,-6854797.317821983,6506927.602622398,-6320233.615540872
2016-08-03,-5761039.757378984,283706770.71256196,-313409603.27788067,5010949589.420954,-5132154023.782816,645983943.0555961,-603627120.7532048,6804536.242784154,-6741289.541868355,6121790.33505132,-5879438.700294754
2016-08-04,-1139111.846569459,279414679.3880757,-329915043.76487744,4923335697.343981,-5300368633.312622,641512419.4405216,-583823768.4175885,6715375.431123516,-6552722.353334139,5676074.604043007,-5338883.201118464
2016-08-05,-2576647.9438450956,330332699.65249604,-387108904.25924027,5411638962.520355,-5843558150.576202,633340828.015364,-564689802.7406616,6640406.115568514,-6351643.202719392,5224413.333818359,-4827255.621487701
2016-08-08,-651905.8962082954,318473513.81687784,-372159784.12577987,5344759779.5782585,-5767923275.226219,655482961.4770578,-593031860.6261731,6775405.162886365,-6562358.870200282,4222831.99698524,-3948602.185975065
2016-08-09,1126869.4279318652,318945167.9877925,-371950830.02441454,5376287292.799719,-5832660329.062786,651178120.3645234,-605970894.2863498,6681051.658753099,-6640801.482218779,3802140.6215469493,-3643729.871007119
2016-08-10,-5489141.20669806,303708486.767565,-351114346.6569884,5302359868.238371,-5660428118.648539,667033750.3626432,-619848215.4708468,6689769.653700008,-6683832.152486656,3463294.978892212,-3325448.6969137047
2016-08-11,-5497147.051012013,331614490.2157313,-381142381.22313654,5520655492.60816,-5915470774.474251,659758903.1961802,-616634491.3819487,6507241.547399467,-6565391.485709221,3022841.05030392,-2920239.8206464187
2016-08-12,2066941.2478985486,332654861.97807825,-375683758.811798,5550474170.169817,-5846366891.073577,660692542.5368047,-631160303.9357281,6496088.165089155,-6660757.781354448,2643704.095977919,-2601289.7907173145
2016-08-15,838361.5569290428,362015626.31405914,-402751186.0063137,5826396613.010648,-6144062222.892089,618583628.4584711,-633383591.4612797,6132664.465547919,-6572414.190546445,1422259.3279988868,-1477393.620720021
2016-08-16,457378.8895075645,315571352.3940104,-355062791.42687905,5260087935.960019,-5677371511.599873,619733805.0351,-652315202.9415525,6212662.011240594,-6846752.019652792,1072103.2847617338,-1153635.6176983244
2016-08-17,686695.2230575976,301091123.5835105,-338851336.5318883,5205594010.63455,-5740540922.15587,688994109.472033,-673420342.3470918,6535797.789121579,-6841375.203756453,773524.6562897321,-778939.5502475444
2016-08-18,1871428.8087968626,343072455.40444887,-362778138.46997285,5647751331.497358,-6074875739.520217,675924625.1878006,-673707807.3273501,6595691.719392372,-6387259.992462869,382948.2951100499,-378056.74986656324
2016-08-19,-914230.6571660924,594675920.1913723,-613309603.0606459,4575128270.68972,-4542587611.487008,608468940.781388,-591950848.3930243,6250000.0,-6250000.0,9824870.256011415,-9753355.166794993
2016-08-22,333867.1791936448,233120923.8485642,-230510067.48640966,4668867333.036485,-4592492806.5669155,639398485.5583082,-624756115.3246094,6555562.353505496,-6547696.305895321,9211563.777038682,-9154023.65159832
2016-08-23,1774948.2000052868,244002966.79441112,-244553830.90413958,4795599384.335438,-4766461431.97677,649158286.4791163,-638513441.1936042,6568232.815772997,-6570761.309547693,8910972.755492425,-8891241.508391444
2016-08-24,-515973.95670950843,216573672.49061322,-212735329.57597768,4494382950.895786,-4399079120.081324,656939695.3955766,-646705587.9673283,6635020.468194545,-6631878.280810418,8636622.97959863,-8619726.057753548
2016-08-25,-471894.4937936715,222353878.95289218,-213386441.05077514,4645452038.680901,-4443681294.326595,668065083.6330463,-653612767.8305424,6732099.880148318,-6706333.459526761,8395137.259694079,-8337375.7041704245
2016-08-26,311963.39461700513,204501411.3898859,-198940289.14258718,4303868387.859271,-4160978950.1381364,664047007.0953436,-642071285.7884402,6765820.538598611,-6713161.968909783,8027507.10182352,-7916434.239920784
