Date,PnL,LongsP,ShortsP,LongsD,ShortsD,LongsG,ShortsG,LongsT,ShortsT,LongsV,ShortsV
2016-07-15,0,302802979.650439,-302804233.98843175,4717772492.487993,-4843063997.638361,500833282.63589025,-525717251.6510598,-6250000.0,6250000.0,11258032.120697562,-11567230.180971842
2016-07-18,1764842.7303776129,303877873.9992096,-296029860.0601959,4788620799.342798,-4867596285.121316,519567874.41201466,-547415103.0626175,-6483969.562255548,6500242.164500105,10678724.301092941,-11005053.336725894
2016-07-19,1088043.0198129169,287681230.8397568,-280573673.72989106,4717417795.810833,-4782438973.804311,521755491.8602377,-553127630.262394,-6508057.561947681,6511801.882994098,10388141.768861782,-10736259.72586738
2016-07-20,-1620860.3785751075,310460149.61016154,-301353244.05783916,4956268830.9935665,-5004589168.818734,529445545.3075077,-559261119.8544981,-6530905.769416094,6528855.998489295,10121444.848640306,-10438094.914732067
2016-07-21,1673064.8763769856,294984522.0674448,-278766913.1473162,4782295511.9982395,-4766704690.8347225,534830470.04675883,-566343556.4439242,-6483230.2462271415,6487084.436289157,9763193.492815439,-10091068.178974915
2016-07-22,135515.63870022818,327526235.87782276,-310774438.3225188,5175616744.8258705,-5206188975.488373,532720778.3819877,-570415782.6607931,-6492941.236575938,6524691.183559466,9421378.242400382,-9806012.51848131
2016-07-25,-950507.0169985407,307572431.2720931,-293775363.5490422,5081366360.574285,-5099624831.798054,555887451.5508418,-591338756.9287901,-6733428.177023408,6733533.921118307,8752428.430391323,-9058185.09819628
2016-07-26,-853260.2597469636,321441302.2342557,-308408310.3699968,5217291824.318731,-5208495234.827723,562497964.2267904,-592685776.5674798,-6819106.476500538,6768805.249849064,8515328.363366555,-8732674.110905465
2016-07-27,2390135.2613580814,313852594.54669666,-295780938.10284007,5002977261.470701,-4967111318.263749,553134905.742727,-583143627.4107587,-6766499.12446146,6694834.800372384,8066639.178535843,-8258624.419038739
2016-07-28,2778923.3177821753,341597005.1941479,-299195467.3678678,5293787596.246558,-5057779000.010124,547621767.9292402,-582351475.3782799,-6615731.378443255,6577107.502335741,7588331.349273661,-7828170.503381727
2016-07-29,-1420220.1432041568,359670759.1413255,-304335134.84602815,5482680500.895332,-5141914577.453392,538515168.2394755,-575998514.3728503,-6513486.355910308,6526062.129642252,7133383.309103994,-7406318.016881574
2016-08-01,52283.479605808156,346185542.0597824,-292674263.90132624,5478888608.02212,-5121539460.745518,553210830.3254089,-590318585.5540462,-6665611.230699927,6646507.371893153,6262369.792981801,-6478051.903119592
2016-08-02,-253430.39646505192,290840818.6349694,-233266032.88843706,4867162796.929385,-4439305213.054752,571225482.9630837,-599642355.8684319,-6758363.270480053,6699453.515133876,6054390.814061871,-6189048.243106212
2016-08-03,1044242.2382304823,316158602.3027652,-254967721.6609674,5024711288.755953,-4599063357.027473,576249333.5125327,-598178498.7798117,-6795233.767558811,6709715.962859387,5744666.047441345,-5824986.165410109
2016-08-04,-2357408.860739037,316434492.236145,-267214648.82212514,4997812182.625452,-4651538346.205093,576637026.8961093,-582508776.9451318,-6727159.9435002,6482714.660287578,5351348.584766189,-5293187.485034585
2016-08-05,-1758168.4815342664,374162968.1699754,-318635071.08614916,5497239954.895149,-5126014468.095736,559042645.8697631,-563533178.9247301,-6577398.474489102,6396791.249597305,4858287.181415267,-4819356.754661667
2016-08-08,-614404.5473489902,364214366.24275196,-303084820.2974418,5480686040.786475,-5021691767.017409,592604501.4627485,-576398394.8221786,-6846151.734901587,6530436.085638893,4014284.0108752996,-3872877.382036404
2016-08-09,2215980.7339220396,369541254.0442951,-307493994.9151787,5536318471.023169,-5114756932.417299,590028781.1252369,-572297033.5603118,-6786177.830734609,6387821.479808852,3622268.44117459,-3466091.3705341145
2016-08-10,2361512.458165814,359238985.3177848,-292221994.7693084,5472049316.483587,-5055828167.358395,608997952.3866792,-589847525.3618486,-6787355.174517556,6476308.105902007,3308662.8990638983,-3186179.485652541
