,Ticker,PnL
2016-10-25,NLSN,6283945.867568582
2017-04-20,EVRG,6228347.700551358
2017-09-08,EFX,-5981748.751665701
2017-10-31,SSD,6300999.906724235
2017-11-02,NWL,-6457053.952243813
2017-11-29,ADSK,-5127086.858104113
2018-01-12,AFL,5063386.4066992905
2018-03-07,MED,5077572.886528468
2018-04-20,SKX,7530172.56963748
2018-05-11,NLOK,9385997.154687177
2018-08-31,SWBI,9362264.67763479
2019-01-18,NLS,7433551.1563051855
2019-02-22,STMP,-5149764.132382015
2019-07-30,IT,-5789188.963722833
2020-01-31,NAV,8763040.15339527
2020-03-20,LANC,6256901.165995721
2021-01-29,EHTH,5373937.217532782
