,Ticker,PnL
2016-08-11,VSTO,5298621.6134745665
2016-10-25,NLSN,-6283945.867568582
2017-10-31,SSD,-6300999.906724235
2017-11-02,NWL,-6457053.952243813
2017-11-09,CRL,5466614.987243471
2018-01-12,AFL,-5063386.4066992905
2018-03-07,MED,-5077572.886528468
2019-01-18,NLS,7433551.1563051855
2019-02-22,KHC,6578284.634688369
2019-07-29,NSP,5982044.648728545
2019-07-30,IT,5789188.963722833
2020-03-19,WEC,-6054225.336724309
2020-03-20,LANC,6256901.165995721
2020-11-09,REG,-5397254.2584812865
2021-01-29,EHTH,5373937.217532782
