Date,PnL,LongsP,ShortsP,LongsD,ShortsD,LongsG,ShortsG,LongsT,ShortsT,LongsV,ShortsV
2016-07-15,0,302807830.3150809,-302802130.0810207,4822841156.301476,-4780571368.4261055,524728102.9980289,-511075326.7924809,-6250000.0,6250000.0,11517175.922062784,-11413105.782259353
2016-07-18,-72295.40119553369,301450625.4791685,-296218991.1425611,4888299918.523769,-4795860465.3350525,545159893.4709443,-530559569.13502944,-6489315.46729482,6488891.838999553,10934362.473205678,-10833312.910975745
2016-07-19,-31151.452353266504,284683522.46590734,-283682699.2709441,4810365686.862012,-4745144570.458118,550462986.963483,-533192247.86464435,-6515098.301473128,6515541.543540378,10668886.196555443,-10547991.086325655
2016-07-20,-2562876.9190499666,304840209.3348094,-308053294.2928909,5013828185.317316,-4992904578.76362,558667718.0834665,-535920870.15916544,-6528771.34047702,6529766.516356135,10381929.746984482,-10230001.10941629
2016-07-21,2681484.6752697006,288925047.30498254,-284976942.74096537,4822098661.717383,-4761336589.485727,566041390.5486585,-540496313.9320393,-6459531.897040751,6507984.66136915,9999320.290641272,-9896939.899465311
2016-07-22,-2159568.57514914,323326374.184198,-317061687.40457433,5292733252.180006,-5156336003.171532,568423494.293547,-541087040.3443595,-6485308.985943867,6526236.71734621,9696734.768032636,-9568374.694561917
2016-07-25,280996.71026704926,304836576.49306685,-296512698.67630553,5189217099.550513,-5032570174.257031,591282473.9163051,-562892283.4800403,-6694798.072391933,6758182.670965994,8977362.320077952,-8872250.117581323
2016-07-26,-525384.5814121555,318321633.2777027,-312518572.058921,5273140091.227412,-5188147398.387745,594658051.4341207,-565315400.1950355,-6765993.117426127,6814771.205542247,8696694.649827946,-8577110.243409902
2016-07-27,-762890.5672532137,305880824.860663,-305233190.42816657,5019833613.078993,-5001892783.603163,584809563.3114053,-558068443.6483349,-6677875.584956024,6779320.411424719,8219466.671975184,-8149869.949975178
2016-07-28,-2864853.6454639016,314362544.0501977,-327087081.57655805,5197168532.328463,-5243414228.192099,591930008.5130527,-549159132.6719409,-6622629.900690688,6599896.918109581,7871644.365333388,-7640374.3640902955
2016-07-29,-873719.5706361986,330544103.712309,-338482244.628151,5366530044.53259,-5352654471.83758,582177135.4546685,-536999806.9260871,-6550549.043521905,6457323.945618279,7406971.122369442,-7138233.167158203
2016-08-01,1479776.5718582622,313611690.65181243,-326715445.91198206,5310561335.402571,-5359775306.4171295,597585663.5467486,-551829244.5994427,-6649017.641310378,6639404.325015099,6465585.622935376,-6288751.416011369
