Date,PnL,LongsP,ShortsP,LongsD,ShortsD,LongsG,ShortsG,LongsT,ShortsT,LongsV,ShortsV
2016-07-15,0,302803216.73266447,-302803744.1276927,4766901723.310468,-4885865798.562794,508478617.6240811,-538143334.3028612,-6250000.0,6250000.0,11379333.009751951,-11672758.023836497
2016-07-18,-491616.0028501707,297151000.1388228,-299976901.74979293,4779138708.963964,-4944994522.745132,528624574.67943096,-558350289.0970616,-6489297.233758345,6485297.475226119,10806463.634907555,-11073711.513066411
2016-07-19,368183.08965042024,278546211.8303606,-286855631.5634539,4669203825.99535,-4903694738.255121,533824142.494856,-560779591.2581127,-6506553.431762025,6506644.036095388,10538059.97974215,-10779519.662544496
2016-07-20,-843816.0348443394,295965124.8898182,-312489484.4604546,4843815574.786919,-5177697748.597954,540891401.6129715,-565291441.9306123,-6532380.87845221,6519059.181940833,10260564.753236327,-10469967.626534447
2016-07-21,-1577487.339945443,272595736.0169886,-295107334.226423,4608462994.230875,-4971582348.206701,550462885.5193403,-567516069.4799337,-6480834.710430208,6462184.8663218655,9922681.251499003,-10073129.779972078
2016-07-22,-2273871.835793182,301976262.55507314,-332538563.8902653,5019285708.074495,-5430142946.1023655,554962885.1835613,-564443595.2655636,-6528624.173349787,6458447.858232588,9654703.72576379,-9699710.750422118
2016-07-25,282228.19428354956,283882778.10298014,-311437717.3946146,4918375377.727062,-5300777348.639286,576832080.0124445,-588374331.514536,-6742447.43901225,6683018.121591406,8937606.83575992,-8998174.882534496
2016-07-26,-553202.3868361036,291621476.18159795,-332916830.4941358,4973490568.759101,-5494494964.78508,583062579.4224968,-590361074.5665025,-6822059.6702476945,6744024.131309645,8683044.968028007,-8694730.030879732
2016-07-27,-2441132.095583195,280491445.3989868,-321394123.7841896,4749873198.961481,-5256657403.022579,572478450.525023,-583974616.5289052,-6731966.237924693,6721081.996370757,8197955.122157938,-8272588.229605497
2016-07-28,1124451.0355962582,296675292.3358243,-336782612.5243857,4919772432.3222685,-5454667634.808839,570134182.0559194,-577693198.7007837,-6609117.387285267,6564573.684184448,7749517.884537002,-7783211.31050943
2016-07-29,-2140306.5379099273,307614781.8194518,-350118519.7800417,5057693190.058203,-5575929643.460064,566911137.0491292,-561542440.1384137,-6559688.160345611,6434158.3319262285,7350036.597024557,-7255456.966806769
2016-08-01,394408.4188039812,293250880.84902954,-339710272.5375259,5016906132.763026,-5588123095.554788,584939276.8005412,-572242709.1145315,-6700897.828873532,6559597.4088829,6460473.510676436,-6332007.943409996
2016-08-02,295523.79701331444,238864300.27403733,-279229475.4467808,4364139786.084719,-4940207447.026627,586705926.8985361,-594678184.2198172,-6685242.060892924,6667157.02912798,6104690.862603208,-6144493.119387381
2016-08-03,420715.95954215946,262780013.40382326,-307364204.5401619,4533026821.449162,-5122723088.352739,591216617.4381611,-593799960.788504,-6734403.70626314,6657607.315507542,5789817.834690802,-5781953.372146818
2016-08-04,1997646.1172771093,272778239.3622918,-309619862.1993938,4581415852.071938,-5080856678.285963,585578764.7450876,-587359406.1667602,-6592684.642233696,6531706.77573806,5336681.91934909,-5335079.039397896
2016-08-05,-1088663.0572659457,326169575.368942,-363346553.0773416,5047893638.399464,-5604799935.028603,570351365.6750774,-573858283.6647485,-6516611.855613184,6421925.291825114,4888448.838483613,-4875421.8726857565
2016-08-08,-296394.91283009003,314918083.29875827,-347045927.1920356,4980690756.957535,-5528619667.420496,596116982.2897673,-591077091.7050085,-6744778.97048229,6575638.629924648,3995694.5424140096,-3937767.8081732155
2016-08-09,251475.04776928085,317752597.9848476,-349228262.32393897,5031716076.751007,-5577058356.040164,600254894.598336,-584575751.4235275,-6673226.270501147,6476524.680130982,3624478.38746488,-3528936.206197555
2016-08-10,-1837697.8056422502,307352657.07191217,-332074752.81843376,4961863644.775793,-5498659964.034451,616292486.6633899,-601647176.479671,-6657585.093248801,6553466.639594613,3300961.6246599276,-3234261.052855864
2016-08-11,747399.8099908475,330509249.83036184,-353082360.579844,5138979183.881186,-5681420299.640614,621648245.6013958,-604247545.5382494,-6674145.315873571,6465426.399138307,2947550.8013868546,-2862495.7514613424
