Date,PnL,LongsP,ShortsP,LongsD,ShortsD,LongsG,ShortsG,LongsT,ShortsT,LongsV,ShortsV
2016-07-15,0,302814123.0330894,-302794196.3354502,4790820809.203924,-4800107624.27829,520879028.07560277,-511922458.45470953,-6250000.0,6250000.0,11438000.842730198,-11461502.470774341
2016-07-18,-319051.2406181233,297907142.55911463,-300251605.2895787,4822053065.388775,-4842490762.962551,540727679.2798421,-531602727.4684279,-6486472.213635977,6489932.490656995,10853755.11890287,-10882277.465541076
2016-07-19,-438884.8949916219,283389893.2424042,-285709740.1318295,4767550384.914413,-4771090102.86118,544297442.5654172,-535647413.9254443,-6496394.977362792,6519731.928645812,10569994.101271877,-10605273.019651935
2016-07-20,-671935.5650821945,305114544.7972901,-309013435.3537115,4995528620.14376,-5027066213.078545,551244926.0358338,-543144225.3942454,-6529102.003141414,6536817.545843723,10299868.79339483,-10323862.473031987
2016-07-21,-418938.1181427557,287957581.7992022,-286106709.60369134,4810240097.769886,-4776081103.208708,558486647.2955105,-548771218.9356687,-6490661.386442558,6493559.7969734445,9957867.672476541,-9968577.69651341
2016-07-22,1415323.0238873009,320453148.6193741,-319048899.33653367,5234010409.659752,-5197723906.771339,558870410.1110752,-549342819.0049517,-6526211.349286379,6506812.899691278,9651274.015831748,-9641482.625204954
2016-07-25,125332.2034566357,297200042.0951141,-302911341.9255616,5096650434.756809,-5128207056.102689,582426851.1240494,-572865560.8007927,-6773752.294144403,6724654.3195583075,8964910.969691822,-8942688.703110188
2016-07-26,-1907902.2026242139,310745421.07849777,-316790532.9248179,5222344398.584383,-5245753632.4129095,586191335.8537664,-577126737.5463364,-6856242.958534587,6758896.928053344,8696650.377398027,-8641092.180669669
2016-07-27,2010668.6631546859,305097858.463863,-299092126.1067554,5028879044.276705,-4973896808.715612,574273740.693308,-574749003.1700287,-6786835.397274637,6708580.844282623,8211300.28882253,-8232036.874791549
2016-07-28,-1208127.7854557836,316374487.22870386,-320315506.4481523,5190617894.451966,-5229708709.04398,571755218.0346535,-569924938.6181101,-6644117.607257356,6574729.890334393,7752921.018304488,-7765360.29466399
2016-07-29,-790763.8723437355,327639853.32326686,-332777497.7916944,5317201694.996584,-5379884606.189247,563335086.9662936,-562728610.9852927,-6565385.527771656,6447407.2641408285,7301911.671558268,-7300240.153329836
