Date,PnL,LongsP,ShortsP,LongsD,ShortsD,LongsG,ShortsG,LongsT,ShortsT,LongsV,ShortsV
2016-07-15,0.0,302811635.77443856,-302812829.4152404,5172886766.569885,-4878077220.058559,602053618.9916726,-537326720.8245515,6250000.0,-6250000.0,12380802.436636413,-11653389.166858342
2016-07-18,-323802.60716170905,300210142.43551123,-301904725.28080344,5229323964.323885,-4935051417.974742,625485864.1845298,-558555661.8858455,6486588.777459985,-6489863.376574765,11753035.72378495,-11066815.934840322
2016-07-19,-388704.1578542923,291679695.50376207,-288620137.661114,5237765878.919514,-4895571540.0336,629584257.6864938,-565706956.0552397,6499613.990454688,-6527695.1091670375,11452859.444141574,-10821507.28974325
2016-07-20,-1632015.8302776108,308255428.8603801,-309328294.25320244,5433138576.489204,-5126424738.773156,641758259.7664104,-572890344.4126754,6531697.417879293,-6534497.901849288,11190327.929597698,-10518249.221054282
2016-07-21,-312674.2964556278,287111089.3606736,-290295726.7695968,5177622691.220994,-4890734994.199139,650716433.3073114,-578261910.6840309,6490310.786035083,-6495577.330924345,10816363.986454511,-10145680.784302283
2016-07-22,-660479.6896035869,316360513.6445993,-320135929.216941,5623825065.624468,-5273309180.710289,654020306.6504657,-578064509.5655673,6517913.48309028,-6521460.20274974,10497401.506636648,-9818359.292835932
2016-07-25,467131.7340182437,298916546.9606615,-292728714.3684462,5547074395.290447,-5058731507.207674,683033653.1971941,-599284010.9831548,6771746.9260190595,-6720848.058981357,9775087.605746418,-9069830.344554564
2016-07-26,-855313.7903525404,307809308.1137361,-308818386.49787253,5590990497.60775,-5204163942.284627,687989371.5608618,-598789284.0444667,6788331.606982597,-6820473.748386728,9437577.447096672,-8774599.63420277
2016-07-27,-5356902.466939522,289599251.5085774,-299645600.7468058,5308329339.355091,-4958395542.72395,686381588.8078299,-576937729.5376904,6754265.004515479,-6696923.850112503,9009645.475670524,-8187996.10824283
2016-07-28,-464087.8454309972,312735046.71119213,-313431091.82800835,5602790925.231456,-5105309229.441179,686085225.1017482,-584437373.9723399,6691593.808068579,-6593392.735232172,8580840.333957909,-7819237.389750285
2016-07-29,-1448770.1795599244,334017865.9169261,-330167728.57666934,5860981130.661699,-5263511847.440809,672704361.5726304,-574870659.3292671,6536795.789777255,-6486852.7848481,8016250.352168214,-7347432.917625383
2016-08-01,-1178833.9651164135,324300964.9025106,-316570552.04721844,5894541452.08616,-5222563290.515575,693902300.1228478,-593029537.562788,6703149.250546619,-6610306.656613063,7062334.319162397,-6447328.45767929
2016-08-02,-3469734.55013726,259445275.89892444,-265711916.62342897,5151638173.205004,-4619677640.750106,716418127.4419923,-599372304.1784811,6900307.045664513,-6587936.875409377,6875492.522212502,-6109053.317125699
2016-08-03,962932.3326753171,276450683.0030972,-287850283.986626,5188355255.514775,-4786740191.406395,708358087.1873864,-596560685.6771846,6872207.268742593,-6615087.65129672,6421565.6620855145,-5749167.315961391
2016-08-04,-688698.4103884972,290235067.5312568,-290011147.0642513,5278423426.809823,-4762868689.818904,701949935.3298175,-577828938.9403585,6714548.064272884,-6430022.580972497,5917438.093720519,-5227746.195154935
2016-08-05,-154399.12809746736,344873914.7978027,-346384674.6494968,5719006347.753275,-5264321630.310244,675919824.3689812,-556547678.4060798,6508235.896163844,-6312397.522271801,5339847.932585219,-4738250.091233699
