,Ticker,PnL
2016-10-25,NLSN,-6283945.867568582
2017-01-12,VSTO,-6690695.649455935
2017-04-20,EVRG,-6228347.700551358
2017-07-12,NRG,5127424.969520123
2017-10-31,SSD,6300999.906724235
2017-11-02,NWL,-6457053.952243813
2017-11-29,ADSK,5127086.858104113
2018-01-12,AFL,5063386.4066992905
2018-03-07,MED,-5077572.886528468
2018-04-20,SKX,-7530172.56963748
2018-05-11,NLOK,-9385997.154687177
2018-08-31,SWBI,-9362264.67763479
2019-02-22,STMP,5149764.132382015
2019-07-29,NSP,-5982044.648728545
2019-07-30,IT,5789188.963722833
2019-08-30,ULTA,6403013.198658098
2019-11-07,EXPE,5323277.65496045
2020-03-19,WEC,6054225.336724309
