,Ticker,PnL
2016-08-11,VSTO,-5298621.6134745665
2016-09-26,SAVA,-6039481.074588271
2017-01-12,VSTO,-6690695.649455935
2017-04-20,EVRG,6228347.700551358
2017-06-15,KR,6108431.195179625
2017-07-28,MSTR,6490943.812614993
2017-09-08,EFX,-5981748.751665701
2017-10-31,SSD,6300999.906724235
2017-11-09,CRL,5466614.987243471
2018-01-12,AFL,5063386.4066992905
2018-03-07,MED,5077572.886528468
2018-08-31,SWBI,-9362264.67763479
2019-01-18,NLS,-7433551.1563051855
2019-08-30,ULTA,6403013.198658098
2020-01-31,NAV,8763040.15339527
2020-02-19,GRPN,-5256950.624556754
2020-03-17,QDEL,5432037.528155746
2020-11-09,REG,-5397254.2584812865
2021-01-29,EHTH,-5373937.217532782
