Date,PnL,LongsP,ShortsP,LongsD,ShortsD,LongsG,ShortsG,LongsT,ShortsT,LongsV,ShortsV
2016-07-15,0,302813078.2210599,-302790838.32073444,4732616891.271603,-4873817597.137032,508776072.8849262,-525088205.9296504,-6250000.0,6250000.0,11294377.95927057,-11643518.740549853
2016-07-18,632389.0750527405,300095235.23507935,-297801358.32068753,4779073504.93257,-4904004935.603806,527593024.687076,-545715662.6544034,-6488144.526493503,6489656.455000627,10714112.365046721,-11057601.782800252
2016-07-19,-655095.1070289472,284151821.34584785,-286327071.48846483,4724676331.951985,-4842654032.965904,531075819.1701689,-549219919.9396884,-6507088.475403894,6501597.6789865075,10439720.32394996,-10759560.902529169
2016-07-20,2168084.963459409,308401716.2097731,-307803440.91414034,4968989723.688036,-5070310722.161821,535603122.22524834,-557535527.9756899,-6532155.8141129445,6518589.0250560725,10146358.701404996,-10479816.885312594
2016-07-21,-191578.6615694469,294880650.3355588,-282498718.8838874,4829055823.445709,-4793824393.277336,542147780.191626,-561770012.3821675,-6483270.057809131,6461068.939425267,9795929.818445435,-10095205.602895893
2016-07-22,429031.4145854446,329340229.3725218,-316835975.2017342,5258930680.2046795,-5225468839.503212,541764886.131397,-563882198.4663856,-6466070.574997292,6499663.176740326,9440264.002585998,-9793155.792262271
2016-07-25,-308480.2203678299,311081154.7994038,-297342367.1214779,5155155680.2149725,-5110182689.488487,562715452.5005586,-587898920.3648587,-6677019.23704391,6722374.255331874,8737508.348268494,-9079208.96192994
2016-07-26,1742119.1115346095,323177821.29656106,-312691656.4539089,5238662311.441754,-5250578299.970556,563858265.6402862,-595871321.5909858,-6701211.055910248,6826320.458254394,8416736.191845568,-8849978.498674689
2016-07-27,-870451.4864946933,308543742.84764934,-299778069.91463983,5019996148.73493,-4971609877.89709,561652715.3402238,-579082174.9548132,-6696738.017761769,6725425.791075725,8045422.728601946,-8311286.804423117
2016-07-28,-545009.0234697612,330631909.2387701,-314939557.3060177,5285547310.341538,-5144995247.773045,552952352.3744231,-581915693.4745873,-6544108.362653673,6620048.896097092,7558032.260081034,-7899420.6844819
2016-07-29,86859.71829303517,343424408.0003623,-329376400.98047626,5428821453.900764,-5297239477.71032,542189722.2151482,-572615036.7563312,-6437058.779076885,6519751.326396354,7091414.37322594,-7428098.739953934
2016-08-01,154008.4946064193,327343470.5837836,-320842920.86555314,5385925986.684454,-5318487483.305183,556277637.6061206,-589137454.6679492,-6588647.300698087,6638239.158961073,6224234.319030427,-6505240.8994769715
2016-08-02,587104.6408397892,264343286.658387,-257720084.3054059,4703676306.949184,-4619315777.292508,576239164.1929181,-602742890.2615955,-6687384.6586712785,6752426.4777682,6020247.447945712,-6273560.838493602
2016-08-03,1816590.2249620901,294734783.93590087,-279632454.9394243,4930915069.463295,-4725541251.265447,577965421.154815,-605766873.181747,-6692819.571530053,6770514.865453448,5681249.738186434,-5925453.397858469
2016-08-04,803248.9147654865,300514949.8660897,-285544952.6711516,4916855324.175295,-4745446409.207129,567643277.2304815,-603021126.1134884,-6525419.979925461,6666388.918315386,5203282.364465337,-5498993.998625426
2016-08-05,800764.3976495777,359519732.1801982,-341066249.83203375,5417299381.119368,-5273619482.888745,551611017.1216437,-592104301.7969204,-6354177.252635001,6615605.951577223,4724269.2050812375,-5063692.612238894
2016-08-08,322160.5311314309,348853421.5011208,-326113217.01000786,5358469107.848667,-5192339283.721856,572211083.8015506,-615297024.5444529,-6551801.7292442545,6789497.7591568325,3839549.592962999,-4115722.6115602916
2016-08-09,2980524.261007565,353167947.95697486,-330800401.3028072,5414967200.793697,-5266792759.495669,563899559.5293769,-616050338.2335879,-6447413.498284845,6730118.26809369,3435370.1578331906,-3722818.2719106954
2016-08-10,103345.25303400558,337566445.15875435,-318415922.45965886,5347401854.200441,-5200353585.083368,570877851.7581964,-643733779.1294754,-6418117.658329243,6842440.297711358,3101015.493746825,-3447145.451970379
