Date,PnL,LongsP,ShortsP,LongsD,ShortsD,LongsG,ShortsG,LongsT,ShortsT,LongsV,ShortsV
2016-07-15,0.0,302800221.4548958,-302798929.1020888,5091769559.208706,-4924753514.25115,583230386.03337,-545891452.2143283,6250000.0,-6250000.0,12180838.780335706,-11768784.705438407
2016-07-18,-67927.2173103271,296949534.0413835,-303381199.9218441,5097279793.407742,-5022573762.058222,606880688.665658,-567993065.7988274,6500424.43680015,-6493165.97862752,11583383.422097078,-11187653.938178908
2016-07-19,441791.25762004126,286950739.17321944,-291548756.2087464,5072959195.116659,-4973787671.102459,609886549.8925561,-571804324.5352293,6516341.195016172,-6517395.526587932,11268747.344805092,-10901460.35279708
2016-07-20,-2604331.4807958244,305259839.7239951,-320278777.6595167,5252543134.820357,-5279316636.143091,618420491.6463532,-573843035.9476782,6543112.221672364,-6524514.423804097,10984129.198571036,-10562557.152500294
2016-07-21,324312.43049022113,286404077.4222824,-297727616.37133324,5014214149.872204,-5050912061.120929,626044018.8517722,-582587402.5850449,6471901.068313139,-6507886.676885193,10599374.404285807,-10246619.944075871
2016-07-22,-3491439.9432531884,319284103.7440892,-336429029.9159024,5461930122.192591,-5525868753.410098,634912060.3371158,-575568539.7008958,6511989.909958601,-6483622.69797396,10340423.1931028,-9816936.58090898
2016-07-25,744969.1625363729,298312305.8971255,-308514679.2036107,5279280259.497379,-5344055236.677489,654847894.6916672,-602135248.4100785,6714593.015227634,-6748892.878433325,9529793.19101603,-9158567.56212386
2016-07-26,-1442062.1977793016,310282998.34590393,-321940634.56343806,5353972587.823546,-5448418567.080553,657848793.8665273,-601397488.0790021,6754304.871710787,-6772294.563016977,9192963.825103085,-8799905.864050655
2016-07-27,3260017.3073941553,291881313.4111017,-307227162.8311651,4980623712.133663,-5201931071.532721,637037810.8603481,-596374973.1313374,6640106.755628537,-6728305.675638663,8605328.788434133,-8370281.801519174
2016-07-28,-5040578.804486521,303179549.4439943,-327454668.88941574,5164503638.345823,-5470604736.8007965,650521019.0542125,-585521243.8850341,6650920.184681114,-6574869.2944191005,8320712.393924952,-7851626.953187343
2016-07-29,-3948530.626899476,316362589.15016717,-334194686.29699767,5323867827.144449,-5571841746.682816,647903002.7297671,-572854188.8143542,6585721.519942023,-6453327.934458651,7905226.129770376,-7344154.025065996
2016-08-01,-186162.81077764882,311016772.2074782,-318422397.55755,5385407547.515502,-5495976123.270937,670423561.8715831,-579874902.4421477,6727232.508782763,-6526280.526493898,6959015.449763822,-6362699.4776361585
2016-08-02,1433199.3526877936,255230920.48622158,-257949741.09060514,4723685495.984459,-4878175740.655319,676224968.2400885,-606129371.3490143,6778673.240357794,-6706551.872197334,6617239.484307107,-6240017.320587384
2016-08-03,3199689.549331597,281081760.6253674,-271748690.5066303,4863505569.814457,-5013804490.032238,673454245.6215136,-620077293.4934375,6726105.893178211,-6831612.588222404,6191698.791079734,-6000235.78675295
2016-08-04,231439.10392541392,288324163.4558479,-284561289.51758003,4888305848.313419,-5136517503.47576,660432204.6250961,-612257380.5553701,6508063.732802987,-6717071.528853572,5636525.453033419,-5538074.763363588
2016-08-05,4791122.204374905,338129972.5782037,-336620506.36382794,5336699554.337643,-5647396130.468134,637742643.4740982,-590920361.0365813,6378555.751792077,-6553263.169259453,5122003.754175136,-5004873.105312698
2016-08-08,416700.6712836019,323789042.0655719,-321128730.38891447,5240595703.227177,-5563586469.865799,655149341.3468912,-627117560.568452,6494339.306701292,-6778355.390878964,4119706.792469458,-4123720.63329999
2016-08-09,-2460322.3221804104,312081660.3022783,-331691494.9176008,5222697448.306957,-5713925176.672379,667151258.2037185,-609223310.5420938,6593874.40578253,-6591640.964873542,3797531.8989960374,-3642413.4887946434
2016-08-10,-3679141.345655924,298811128.83730036,-309836334.1040208,5102168058.957092,-5584314113.469147,683529670.5107356,-630143148.487649,6549808.510457436,-6705494.206021888,3441820.6979638976,-3359576.2234696364
2016-08-11,6011327.972039523,327059190.9751431,-332749280.2094667,5322846492.973347,-5820353130.867121,665401379.8720893,-645993880.8204007,6440949.218704755,-6648782.898988292,2997260.545446998,-3004996.2392733674
2016-08-12,520141.1440165179,324629295.02599293,-327912661.758445,5321455367.899624,-5770333070.061541,672437966.3057116,-646940575.8651884,6404712.9002323365,-6622204.910047971,2627226.3211757084,-2624398.9015521896
2016-08-15,640897.697617627,349555310.46964645,-355802795.79330397,5562285546.3511715,-6083173326.854647,681966423.2064927,-624001373.3151479,6457606.672802201,-6367508.549786779,1524246.4973282889,-1441934.0648709694
2016-08-16,-4396267.078219855,309360475.1996982,-316626757.5190715,5078402372.714811,-5615493866.252653,618265300.6878676,-640570016.8806949,6204506.149789417,-6683405.47182867,1071022.36308802,-1119582.425265062
2016-08-17,-461218.1409549055,305095288.064988,-313836814.12598765,5221813148.204119,-5688634977.8226795,691899889.7611817,-686444474.9410197,6515025.993984406,-6722139.750897562,772207.0201868671,-772250.466091629
2016-08-18,-1254207.384600056,332238015.8009887,-348795760.7626255,5626882678.89695,-6085069319.751787,696421654.8610227,-673519168.9570202,6240340.442812081,-6274808.852983474,378280.8601025792,-368775.5600036534
2016-08-19,19614.629989989684,579983185.7856573,-597767881.2437546,4655517961.766669,-4721181992.838314,622177277.4228392,-639210878.3938196,6250000.0,-6250000.0,10002441.50196354,-10147294.586784817
2016-08-22,-501580.0592144674,232227006.97601768,-232492863.30060583,4723213688.523766,-4797162868.963486,654671881.8296314,-672372938.0834479,6550637.344980761,-6541993.925162956,9377087.648449618,-9508943.055743774
2016-08-23,711293.8929691236,246916736.71552485,-241846705.97875363,4906615123.734115,-4964447543.507982,663971184.2806973,-688859834.0483695,6540776.35308207,-6569446.04082415,9053020.331034312,-9246089.19587044
2016-08-24,-536850.9802456944,220349383.290208,-210762578.1346208,4605446809.131452,-4574103543.926073,672345187.363534,-696867904.7573459,6603053.510840572,-6610016.464889131,8775142.655207457,-8947176.704511158
2016-08-25,-3292695.28098324,224100249.29086632,-217102035.78469634,4681005263.624044,-4682590949.913129,677104705.9732251,-700291291.779608,6650672.542707722,-6658968.336367929,8450799.617282795,-8608658.507983215
2016-08-26,131577.28329102753,207547660.68780833,-199349069.05514765,4379928922.594474,-4360713237.728292,673521017.5292964,-695623133.9734087,6700212.7398392875,-6700906.291473089,8087173.590566572,-8231632.671725806
2016-08-29,-158688.6450698916,223629981.64099416,-219869226.191239,4858201184.585202,-4914008358.484755,722352630.5456879,-745056299.7958617,7161940.566399042,-7153170.106368627,7420853.655722544,-7536517.056566382
2016-08-30,-1080405.6104305019,216206278.3565932,-214433825.28720152,4692936829.241257,-4794426104.112745,715311198.755296,-742217573.8794162,7094813.79071787,-7083483.072685305,6939599.562241871,-7058312.6651272
2016-08-31,950373.8888716348,196629148.61375046,-199158227.63880655,4527599201.753235,-4608424994.30508,737780062.3013725,-747675786.6137893,7243210.043028195,-7107925.274260256,6705076.458308087,-6685312.78816858
2016-09-01,1920324.2236719728,192182388.78200668,-194544828.21594405,4531297490.8831,-4596752957.163551,753181259.540863,-754544544.1896145,7347036.452202154,-7151543.574496347,6391008.136963685,-6316284.283586934
